,Number,Title,Description,Link
0,"Season 142, Episode 3",Chasing a Better Life in Glasgow,"A couple faces financial risks and other complications when they leave Seattle for Glasgow, Scotland. They love the art scene, the food and the people, but practical matters may put a damper on their big dreams.",https://www.hgtv.com/shows/house-hunters-international/episodes/chasing-a-better-life-in-glasgow
1,"Season 142, Episode 4","No More Suitcases in Girona, Spain","After living out of a suitcase working with pro-cyclists around the world for six years, a massage therapist is looking to put down roots in the cycling mecca of Girona, Spain. She has a big wish list but isn't comfortable living beyond her means, so her friend joins the home search to keep her in check.",https://www.hgtv.com/shows/house-hunters-international/episodes/no-more-suitcases-in-girona-spain
2,"Season 142, Episode 5",Disco vs. Diapers in Zurich,"A couple faces change on all fronts after they move from bustling Hong Kong to sleepy Zurich. He wants to hold onto the excitement of his youth, while she looks forward to a quieter family life centered around their young son.",https://www.hgtv.com/shows/house-hunters-international/episodes/disco-vs-diapers-in-zurich
3,"Season 142, Episode 6",A Guanacaste Nest Egg,"With their kids about to fly the nest, a man has finally convinced his workaholic wife to embrace the Pura Vida lifestyle and move to Guanacaste, Costa Rica. He wants a home where he can host fitness retreats but if she's going to slow down, she wants to prioritize visiting family members over clients.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-guanacaste-nest-egg
4,"Season 142, Episode 7",Spreadsheets and Style in Spain,"An Indiana woman wants to follow her bucket list to La Safor, Spain, but her husband is reluctant to move unless their grown children are willing to visit. He invites their daughter to help them choose a home, but trying to please everyone could make the entire family unhappy.",https://www.hgtv.com/shows/house-hunters-international/episodes/spreadsheets-and-style-in-spain
5,"Season 142, Episode 8",Hitting Reset in Costa Rica,"A Nashville couple with hectic careers and three young sons jump at the opportunity to slow down in Tamarindo, Costa Rica. However, while she's hoping for a home close to town and its activities, he wants to be on the beach.",https://www.hgtv.com/shows/house-hunters-international/episodes/hitting-reset-in-costa-rica
6,"Season 142, Episode 9",Islands be Gone in Mexico,"A globetrotting couple is finally settling down in their favorite location -- Puerto Vallarta, Mexico. They're mostly on the same page about what kind of home they want and where they want it, but purchasing a home internationally is almost never that easy.",https://www.hgtv.com/shows/house-hunters-international/episodes/islands-be-gone-in-mexico
7,"Season 142, Episode 10",Taking Bets on Cyprus,"A couple's Southern California family time is cut short after a man receives an offer to open a new casino in the Mediterranean. Moving all the way to Cyprus means giving up close proximity to their children and growing grandchildren, so he's going to try his best to keep his wife happy on the other side of the globe.",https://www.hgtv.com/shows/house-hunters-international/episodes/taking-bets-on-cyprus
8,"Season 142, Episode 10",Taking Bets on Cyprus,"A couple's Southern California family time is cut short after a man receives an offer to open a new casino in the Mediterranean. Moving all the way to Cyprus means giving up close proximity to their children and growing grandchildren, so he's going to try his best to keep his wife happy on the other side of the globe.",https://www.hgtv.com/shows/house-hunters-international/episodes/taking-bets-on-cyprus
9,"Season 142, Episode 11",Wanting It All in Mexico City,"After months of being separated by his work, a family relocates to Mexico City to spend more time together. She has wild, cosmopolitan dreams for life in the big city, but with one income, he wants to stay within budget.",https://www.hgtv.com/shows/house-hunters-international/episodes/wanting-it-all-in-mexico-city
