,Number,Title,Description,Link
0,"Season 31, Episode 5","A Better Life in Nantes, France","After a chance meeting, Dominic and Antonella fell in love.  They tried London and settled in Paris to raise a family.  Not content with his tech consulting job, Dom changed careers and became a chef.  His culinary aspirations matched Antonella's dream for a better life for them and the kids.  They followed a growing trend of younger people moving to Nantes.  He likes it because there's a lot of fresh meat and seafood, she likes it because there's open space, and they can own a home instead of an apartment.  Real estate agent Nicolas Onillon has his work cut out showing them the options in their limited budget.  Will they make it work or are they going off half cooked?  Find out as House Hunters International takes the family to Nantes, France.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-better-life-in-nantes-france
1,"Season 31, Episode 6","Higher Learning in Lyon, France","Sasha Steiner met a dashing Frenchman in Portland, Oregon.  But Brian was only in town for a year.  Not wanting to lose the relationship, she decided to pack up 2 suitcases and head to his tiny hometown of Genas, France.  Now they're living with Brian's parents in his childhood bedroom, but these students don't plan to stay for long; they're heading to nearby Lyon to finish school.  Brian's worried their different cultures will clash as they look for their first home together.  Agent Luc Grange hopes he can find a rental in their $1100 dollar budget that meets their specfiic wishes - close to school in the center of town, a nice living room for Brian, and a big kitchen for aspiring chef Sasha.  But in France's second largest city, space isn't cheap.  Sasha and Brian will have to decide what's more important - being close to school or having the space of their dreams.  For this young couple, agreement doesn't come easy...or cheap.  School's in session, when House Hunters International studies in Lyon, France",https://www.hgtv.com/shows/house-hunters-international/episodes/higher-learning-in-lyon-france
2,"Season 31, Episode 7",Beach Rentals in Martinique,"After just tying the knot, Kierie, a recent veterinarian graduate, and her French hubby Francois, an environmental engineer, are living in Kierie's old childhood bedroom in Boston. But with their extended stay at mom's house starting to feel cramped, Kierie wants to find vet work in a place she can really make a difference and Francois has always dreamed about exploring French cultures outside mainland France. With their hearts aligned and separate needs in mind, they're choosing the lush, Windward isle of Martinique as the perfect fit for them to settle down on--Kierie can work with the island's needy animals and Francois can enjoy his morning baguettes, baked up daily, on this off-shore department of France. Martinique, however, is also part of the European Union and real estate prices can rival those of Paris! So could tropical house hunting on a newlywed's budget be where this perfect honeymoon ends? Find out, with real estate agent Gregory Donatien, when House Hunters discovers the romance of Martinique's sandy beaches",https://www.hgtv.com/shows/house-hunters-international/episodes/beach-rentals-in-martinique
3,"Season 31, Episode 8",Native Londoner returns to his Portugal roots,"David, a graphic designer, and his fiance Charlie have been living a fast-paced, busy life in London for years. Now that they have a 7 month old daughter, Layla, they've decided to trade in city living for a more peaceful life on the beaches of Costa da Caparica, Portugal. They chose this area because David is of Portuguese heritage and has cherished childhood memories of playing on these beaches as a kid on holiday with his family.  He wants nothing more than his little girl to grow up with the same memories and knows that raising her on the beach will benefit the entire family. Costa da Caparica is only 20 minutes outside of Lisbon so they're both hoping to reignite their careers in the city while enjoying seaside living. David, who can work from home, is especially hopeful that he'll find his dream house on the beach. Given their limited budget however, finding space to live, work and provide a room for Layla may be a challenge. Real estate agent Ronald Wayne, a British ex-pat himself, wants to get the young family settled in a home in what he describes as one of the best places to live in the world. Will they get the beachfront property they're after or will budget issues send them inland? Find out when House Hunters International heads to Costa da Caparica, Portugal.",https://www.hgtv.com/shows/house-hunters-international/episodes/native-londoner-returns-to-his-portugal-roots
4,"Season 31, Episode 9",Aussie Abroad in Ancient Belgrade,"In need of a change, Philomena left her job and hopped a plane to Europe. During her travels, one city stood out. Belgrade, Serbia's capital, instantly charmed this far-flung Aussie and she developed a love for life on the Balkan Peninsula. Now, settling full-time in the Serbian capital, she's starting a tourism company with her friend Jules and looking for her own downtown dwelling. But even with rental prices dropping, the city center remains popular and finding the right balance of location and space for the right price will be a challenge. What kind of sacrifices will she have to make to realize her Serbian dream? Find out when House Hunters discovers the ancient allure of Belgrade, Serbia.",https://www.hgtv.com/shows/house-hunters-international/episodes/aussie-abroad-in-ancient-belgrade
5,"Season 31, Episode 10","An English Couple Takes the Plunge in Gran Alacant, Spain","Damon and Georgia Rose met in Hong Kong many years ago, where they ran a successful scuba diving shop.  They moved back to England to be close to family while raising their kids, but are now anxious to travel again.  This time they have set their sights on buying a dive shop in Gran Alacant, Spain and taking a chance on a small business.  But with two young children, the considerations of moving overseas include carefully choosing where to base their family during this risky endeavor.  Will they hold their breath for the perfect home, or will they realize when its time to come up for air?  Find out when House Hunters International travels to Gran Alacant, Spain.",https://www.hgtv.com/shows/house-hunters-international/episodes/an-english-couple-buys-a-dive-shop-in-gran-alacant-spain
6,"Season 31, Episode 11","New Beginnings in Brussels, Belgium","Chris and Kristen King are ready for a change from the typical life in Hoboken.  When Chris told Kristen he  had a job offer in Brussels she took that as a sign, and retired.  They've enlisted the help of real estate agent Maria Strandberg, who takes them on a tour of 3 distinctly different houses.  Chris only needs a parking spot, and Kristen just needs to make a decision.  Watch what happens when House Hunters International begins a new life in Brussels, Belgium.",https://www.hgtv.com/shows/house-hunters-international/episodes/new-beginnings-in-brussels-belgium
7,"Season 31, Episode 12","Kicking It in Tokyo, Japan","Chuck's martial arts career is successful.  And very international.  Ten years ago, he made the move into action films and found success in Asia.  But after traveling back and forth, this Michigan native is ready to settle down. His girlfriend Mari is from Tokyo so both of them agreed Japan will be their final stop.   But even in the far east, the pull betwen city and suburbs is hard to deny.  Chuck doesn't want to live in a concrete jungle.  But Mari is ready to be close to her parents in Tokyo city once again.  And their $1300 dollar a month rental budget won't get them a ton of space.  Real Estate Agent Fumi Kimura has an idea.  If they live in Kanagawa, a suburb of Tokyo, they might be able to get everything they want at the right price.  But they will have to stomach long commutes and long walks.  Chuck and Mari must decide if traditional suburban space is worth the sacrifice. Or if the city center - with is tight quarters - is worth the convienience.  What will they decide?  Find out when House Hunters International kicks its way through Tokyo, Japan.",https://www.hgtv.com/shows/house-hunters-international/episodes/kicking-it-in-tokyo-japan
8,"Season 31, Episode 13",Dallas Natives Relocate to London,"Claudia is a corporate event planner whose company is expanding globally.  As a result she, along with husband Fred and their 18 month old son Brennan, are moving from their spacious Dallas home to London, England.   Fortunately, Fred is a photographer with several clients in Europe so he is able to work anywhere and hopes being closer to these clients will benefit his career as well.   After doing  preliminary property research online, the couple is experiencing some minor anxiety about how far the dollar stretches in London and how much space you get for the money compared to in the states.  They've already determined that to get more indoor and outdoor space, they will focus their search in the suburbs rather than central London. Hopefully their real estate agent Gavin will find them a spacious rental property that delivers on their  Dallas  standards.   Will they be able to emulate the home  they're leaving behind?  Or will they have to make compromises they are not comfortable with while spending more in the process?   Find out when House Hunters International moves from Dallas, Texas to the suburbs of London, England.",https://www.hgtv.com/shows/house-hunters-international/episodes/dallas-natives-relocate-to-london
9,"Season 32, Episode 1",Modern Living in Central Rome,"Darius and Erica have something special in common--she's an Italian writer and he's an ancient Roman archeologist. So it should come as no surprise that their Roman love affair has become official by moving their two girls to central Rome. But this once great empire doesn't surrender easily, and when they're faced with cramped urban living coupled with sky-high rents, will their passion alone for this animated city be enough to fit in? Find out, with professional real estate agent David De Arce, when House Hunters excavates trendy apartments in the one and only Rome.",https://www.hgtv.com/shows/house-hunters-international/episodes/modern-living-in-central-rome
