,Number,Title,Description,Link
0,"Season 81, Episode 2",Studying or Beach in Grenada,"Ryan has decided to pursue his passion to become a doctor. His wife, McKenzie, agreed on the condition that they leave snowy Utah and spend some time on a beach. They found the perfect opportunity at the St. Georges University Medical School on the island of Grenada. However, they soon find living on student loans limits their budget, and they might not be able to afford beachfront property.",https://www.hgtv.com/shows/house-hunters-international/episodes/studying-or-beach-in-grenada
1,"Season 81, Episode 3","Better Late Than Never in Lake Atitlan, Guatemala","Rory fell in love with Guatemala 25 years ago while travelling around scenic Lake Atitlan. Since then he's started a family and built a successful law career in Boston, but he never let go of his dream. Now, with the kids of age and his schedule more flexible, he's convinced his family that trading Boston for Lake Atitlan should be their main priority. His wife, Ivy, is willing to play along until she realizes the area is much more remote than she thought. While there are less remote options available, Rory wants to be as far away from town as possible. If he wants his lakeside Guatemalan dream to come true, though, he'll have to convince Ivy the view is worth all the trouble it brings.",https://www.hgtv.com/shows/house-hunters-international/episodes/better-late-than-never-in-lake-atitlan-guatemala
2,"Season 81, Episode 4","A Sea Change to Isabela, Puerto Rico","Ryan and Jenny are living the American dream in Utah with their four kids, but now they are ready for some new and exciting experiences beyond the comfortable bubble of Salt Lake City. Based on rave reviews from friends who had lived in Isabela, Puerto Rico, they've worked up the guts to break away from family and friends, sell all their possessions and take off for the island's warm, sunny shores. Once there, though, the family soon finds out realities are different from their best laid plans. Most of the houses and apartments aren't built for six people, Ryan needs office space and their budget is only $1,600 per month. The family will be stuck in the tight quarters of a hotel room until they can solve the challenge on their hands.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-sea-change-to-isabela-puerto-rico
3,"Season 81, Episode 5",Nice to See You Again,"After 16 years of vacations to the city he adores, Eric has convinced his wife, Rixa, to move to Nice, France, with their four kids. They both want their children to soak up the French culture, but Eric, a writer, is also searching for artistic inspiration in his new home. Rixa just wants to make sure her family's practical needs are met through their investment income. House Hunters International attempts to strike the balance in Nice, France.",https://www.hgtv.com/shows/house-hunters-international/episodes/nice-to-see-you-again
4,"Season 81, Episode 6","A New Career and a New Home in Malmo, Sweden","Noel, a video game designer in San Diego, has an offer to work on a new game project with a company in Malmo, Sweden. Noel is fully invested in his new career and wants to buy a new home, but Cecilia wants to rent until they are both more familiar with Malmo. Sweden's rent control laws keep rental prices low, tenants hold on to their properties and new rentals don't often come on the market, but real estate agent Johanna Ericsson perseveres and the couple sees both options.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-new-career-and-a-new-home-in-malmo-sweden
5,"Season 81, Episode 7","Prague-tically Home Free, Committing to You and Me","John went to Prague for school but stayed for Honza. Now that they've been renting for a few years, they're ready to commit to each other and the city by buying their first apartment in Prague. It may take them some time to adjust their expectations to a new reality and one of them will have to compromise. With John giving up so much to stay with Honza, will Honza give in?",https://www.hgtv.com/shows/house-hunters-international/episodes/prague-tically-home-free-committing-to-you-and-me
6,"Season 81, Episode 8",I Go Where Vigo,"Paula was born in Spain and met Chris while earning her degree there. They eventually married and both now teach Spanish in Chris's native Maryland. With a new baby in the mix, they feel that all they do is work to afford day care so they can work more. Eager to refocus on what's important, the couple has decided to leave Maryland in search of a slower, family-centric life in the small waterfront city of Vigo in northern Spain. But living for less in Spain with a family in tow won't be as easy as uno, dos, tres.",https://www.hgtv.com/shows/house-hunters-international/episodes/i-go-where-vigo
7,"Season 81, Episode 9","Taking the Kids to Marrakech, Morocco","When British Paris went to Marrakech, she swears Fahd put a spell on her because she fell in love and married him. They were raising their kids in England, but eventually felt it was time to introduce the kids to Fahd's family and culture. Paris and Fahd have returned to Marrakech to find a budget-friendly second home. Paris loves to renovate, but Fahd would rather get a more costly move-in-ready home. Tune in to find out who prevails in this international tug of war.",https://www.hgtv.com/shows/house-hunters-international/episodes/taking-the-kids-to-marrakech-morocco
8,"Season 81, Episode 10","Migrating to Ulaanbaatar, Mongolia","Chris and Maria grew bored with their lives in Toronto, so they decided to make the move to teach in Mongolia. They're excited to explore one of the last nomadic cultures on Earth, but with a limited budget it will be difficult to find a suitable home with two bathrooms in this rapidly-expanding market. Chris is determined to find a place that can double as a photography studio, while Maria is looking for a space to practice yoga. Find out whether they can get it all in the coldest capital on the globe: Ulaanbaatar, Mongolia.",https://www.hgtv.com/shows/house-hunters-international/episodes/migrating-to-ulaanbaatar-mongolia
9,"Season 81, Episode 11","Geilenkirchen, Germany, Here We Come","Whitney and Paul wanted to give the kids an international adventure and that's exactly what they got when Paul's job called him to the NATO Airbase in Geilenkirchen, Germany. But finding a house for seven people that is close to Paul's job and the kids' school that can also accommodate Whitney's photography career is not an easy task.",https://www.hgtv.com/shows/house-hunters-international/episodes/geilenkirchen-germany-here-we-come
