,Number,Title,Description,Link
0,"Season 62, Episode 7","It Takes Two to Tango in Buenos Aires, Argentina","A job transfer out of Austin and into Buenos Aires brings Jaime, Mary, and their young son, Drake, to one of Argentina's hottest cities. When Jaime is called away on business, Mary is left searching solo for the perfect urban oasis to suit both her dream yoga business and her husband. In order to find the perfect balance between the vibrancy of the city center and the tranquility needed for meditation, she'll have to bend their budget and flex expectations without stretching herself too thin.",https://www.hgtv.com/shows/house-hunters-international/episodes/it-takes-two-to-tango-in-buenos-aires-argentina
1,"Season 62, Episode 8",Entrepreneurs Revisit Their Colombian Roots,"Juan and Diana have spent their lives moving from place to place for work and family. When they settled together in New York City a few years ago, it seemed like a perfect middle ground for them both: a mix of culture, work, and friendly faces. Although they enjoy New York, after a visit to Juan's parents in his native Colombia, the couple realized that they might be missing out on a chance for a better life. Both have always wanted to be their own boss, and with so much changing so fast in Colombia, they're gambling that this might be the right time to make a big move. Juan and Diana will have family support and raw enthusiasm to help them on their journey back, but with limited funds, no immediate income, and a learning curve to get back into Colombian culture, these eager entrepreneurs will need more than mom and moxie to make things work in Medellin.",https://www.hgtv.com/shows/house-hunters-international/episodes/entrepreneurs-revisit-their-colombian-roots-to-start-a-pet-store-in-medellins-emerging-marketplace
2,"Season 62, Episode 9",Some Uninterrupted Face Time in Southern Italy.,"With a full house back in Vancouver, Arnie and Diane decide it's time to take action and buy a vacation home. Their love for wine and food has them feeling a strong pull to Italy, so Arnie convinces Diane that this is where they should go.  But Italy is expensive and they only have a $180,000 budget with which to feather their Italian love nest overlooking the Mediterranean Sea.",https://www.hgtv.com/shows/house-hunters-international/episodes/some-uninterrupted-face-time-in-a-peaceful-seaside-village-in-southern-italy
3,"Season 62, Episode 10","Embracing Roots in Hong Kong, China","Michelle is 100 percent Chinese but was born and raised in the states. She has always wanted to experience the culture and embrace her roots by living in Asia. When she found a role within her firm that would allow her to move to Hong Kong she jumped at the opportunity. Her boyfriend Chris was fully supportive and even started learning how to speak Chinese. This couple is ready for a big move but their budget and differing wish lists might create a road block, watch what happens when House Hunters International travels to Hong Kong, China.",https://www.hgtv.com/shows/house-hunters-international/episodes/embracing-roots-in-hong-kong-china
4,"Season 62, Episode 11","Location Lessons in Bangkok, Thailand","Ruth and Todd Richert love almost everything about their native Calgary.  They met there, have family there, and its proximity to tons of outdoor activities made it a great place to call home.  But, when the point came where the comforts of Canada were too safe of a bet for these thrill seekers, they started to look at ways to shake things up.  Todd, a high school math teacher, started to explore how he could do what he loves in a different setting, so when an opportunity to teach in an English language school in Bangkok came up, they both decided this was the change they were looking for.  Ruth recently graduated with her Master's degree and won't have a job immediately, so finding a way to occupy her time in Thailand is her priority one.  She wants to be in the heart of the action so she can easily explore the city and have plenty to do.  Todd would rather live outside central Bangkok in the more relaxed suburbs, which also has the added benefit of being where his school is.  Having decidedly different perspectives over where to live is only one of the challenges real estate agent Patricia Lee will have to contend with, as she tries to find them a spacious, two-bedroom apartment on their $700 a month budget.  Watch as Ruth and Todd decide whether simple and serene is more appealing than a new experience in a lively location, as House Hunters International explores Bangkok, Thailand.",https://www.hgtv.com/shows/house-hunters-international/episodes/location-lessons-in-bangkok-thailand
5,"Season 62, Episode 12",Geologists Uproot their Kids from Australia to Tackle New Ground in Ghana,"Bill and Chrissie met while studying geology in University. After graduating, they married and had three children.  They've been raising their family together as a team until Bill took on a fly in, fly out geology job in Africa. Because Bill worked away for weeks at a time, Chrissie was stuck single parenting, and the kids rarely saw their father. Done with dad being a stranger in his own home, the family decided to make a major move and relocate to Kumasi, Ghana to live closer to Bill's new job.  To absorb the shock of moving away from their comfortable lives in Newcastle, Australia, Bill and Chrissie hoped to find a four-bedroom home with a pool, garden, and good security. But once they arrived they quickly learned their $2,000 a month budget wouldn't cover their wish-list, and swimming pools were few and far between in Kumasi. Find out if the family finds a home that helps them settle in Africa when House Hunters International uncovers new ground in Ghana.",https://www.hgtv.com/shows/house-hunters-international/episodes/geologists-uproot-their-kids-from-australia-to-tackle-new-ground-in-ghana
6,"Season 62, Episode 13",How Grenoble of You,"Naichi and her husband Perry have been living the American dream ever since coming over from Taiwan several years ago.  They've grown accustomed to their routine in the quiet town of Groton, Massachusetts and now have a 14 month old son named Wesley, but their entire lifestyle is about to change.  Perry has accepted a transfer within his company that will move their family across the Atlantic to Grenoble, France.  Naichi will have to give up her career teaching Chinese at a local school in order to care for Wesley full time, but she may have to sacrifice more than that once she finds out that the definition of unfurnished is a little different in France than in the United States.  Find out if Naichi can get what she wants or if Perry's work will be the top priority as House Hunters International visits Grenoble, France.",https://www.hgtv.com/shows/house-hunters-international/episodes/how-grenoble-of-you
7,"Season 63, Episode 1",A Couple Starts Fresh in Denmark,"When scientist Alistair met financier Hannah, the chemistry was instant.  But after Alistair received a job opportunity in small town Denmark, they're packing up his lab coats and beakers and leaving Sydney behind.  Meanwhile, Hannah has grown tired of her job in finance and looks forward to starting a new career, which has her hoping for a property in the thick of things.  But Alistair wants some green space that may not exist in the city center.  Now they'll have to find a balance that works for them, when House Hunters International starts fresh in Odense, Denmark.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-couple-starts-fresh-in-denmark
8,"Season 63, Episode 2","Going the Distance to Bridge the Gap in Montevideo, Uruguay","Michelle and Tom nurtured a relationship 8,000 miles apart these last six years since they can't legally work in each other's respective countries of the US and UK. So once Tom got a job offer in Montevideo, they got on a plane without a plan. Neither one has even been to South America, nor do they speak Spanish, so they need to rely on German expat and real estate agent Arndt Ohletz to find them a modern, furnished apartment with private outdoor space. Find out if being in the same country will still leave them worlds apart in Montevideo, Uruguay.",https://www.hgtv.com/shows/house-hunters-international/episodes/going-the-distance-to-bridge-the-gap-in-montevideo-uruguay
9,"Season 63, Episode 3",A Family Retraces Dad's Roots in Aalen,"Jane and Johannes liken their love story to a Korean soap opera born in different lands, but sharing common heritages, they met overseas and fell head over heels in love, only to be separated, and ultimately reunited, after years of on again off again romance. They always wanted to be together, and now they are, raising a lovely family as Johannes' job takes them around the world. The newest job twist brings this multicultural bunch back to Johannes' roots in Germany. Aalen is the opposite of what they've left in San Diego, a tiny town on the outskirts of the Alps with almost no housing turnover. While the move is an opportunity for Johannes to advance his career, staying connected to their Korean side will be almost as tough as finding a family friendly house in a village that's already filled to capacity.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-family-retraces-dads-roots-as-they-balance-korean-american-and-german-heritages-in-aalen
10,"Season 63, Episode 4",Leaving London and Setting Sail to Roseau,"Since Sonia could remember, Ron, her husband of 15 years, pinned for his childhood days on the Caribbean island of Dominica. Engulfed in her career, Sonia paid Ron's suggestion about island living little attention until she developed a passion for health and wellbeing. Ron's constant reminder of a healthier, simpler life eventually paid off, and she agreed to leave London for the sunny capital of Roseau. After selling their UK home, his business and all their belonging, they landed in Dominica excited and anxious about their future. While most couples their age would be planning for retirement, Ron and Sonia were starting over, intending to work on the island. But before their new lives could begin, they needed to find a home in their budget of $350,000, a difficult feat in a city with only a handful of properties on the market. And the hunt got harder as Ron insisted on a sprawling garden, and Sonia refused to be far from the city's center. Find out if they find a home that meets her urban needs and his rural dreams when House Hunters International digs into Roseau, Dominica.",https://www.hgtv.com/shows/house-hunters-international/episodes/after-a-lifetime-of-longing-a-husband-convinces-his-wife-to-leave-london-and-set-sail-to-roseau
11,"Season 63, Episode 5",Head Over High Heels for a Home in Andorra,The expansion of her husband's business into Europe means a change of scenery for Latin recording artist Alondra. She's leaving the excitement and glitz of the Miami music scene behind to join Jerry in Andorra. But even if he finds her the perfect flat the natural beauty and quiet splendor of this Pyrenees Shangri-La will be a big adjustment.,https://www.hgtv.com/shows/house-hunters-international/episodes/head-over-high-heels-for-a-home-in-andorra
12,"Season 63, Episode 6","Snowbird Sanctuary in Huatulco, Mexico","For the last five years, George and Kathy have made Huatulco, Mexico their getaway from the cold Canadian winters.  They love the area so much that they've decided that renting a home there is no longer an option. They want to own a piece of paradise.  What they can't agree on, is what their winter home should look like.  George likes a modern muted style while Kathy is looking for bold Mexican flair with lots of bright colors.  Not only is their style different but also their spending sense.  Kathy enjoys the finest things in life and will spare no expense to make sure her dream home's design is exactly how she wants it.  George is worried about his wife's expensive tastes getting out of hand, and since he is the one postponing retirement to help finance their retreat, he wants to keep things to his 1.2 million dollar budget.  But with homes in pricey Huatulco at a premium, real estate agent Valerie Verhalen will have a tough time keeping George's sticker shock to a minimum.  Watch as George and Kathy try to keep their snowbird dream home from flying away in Huatulco, Mexico.",https://www.hgtv.com/shows/house-hunters-international/episodes/snowbird-sanctuary-in-huatulco-mexico
13,"Season 63, Episode 7","Italian Dream for Party of Eleven, In Veneto","Josh and Sarah Brown fell in love with Italy during their European honeymoon fifteen years ago. Now they've decided to leave behind their fast paced lifestyle in Indiana and return to the peaceful region of Veneto, Italy. Except this time, they're bringing along their nine children. Finding a home to accommodate eleven people in the small villages that dot the countryside is a huge challenge for real estate agent Sabine, and the family's tight budget might leave them bursting at the seams. See if the Browns can find their dream home on the biggest House Hunters International adventure yet.",https://www.hgtv.com/shows/house-hunters-international/episodes/italian-dream-for-party-of-eleven-in-veneto
14,"Season 63, Episode 8",Leaving it all for London,"College sweethearts Lauren and Adam Westin have always dreamed of a return trip to explore Europe, but marriage managed to seemingly settle them down for good in Atlanta. When the opportunity to transfer to London crossed Adams desk at work, he and his wife, Lauren, jumped at the chance to leave their predictable lives behind and cross the pond to adventure. Having to sell their spacious townhome to make the move, the Westins are having trouble adjusting to the idea of downsizing in one of the most expensive markets in the world.",https://www.hgtv.com/shows/house-hunters-international/episodes/leaving-it-all-for-london
15,"Season 63, Episode 9",Lady in Reading,"Mark and his wife Danielle had been living together in Seattle until inspiration struck to change their lives and move somewhere else.  With an opportunity to change positions within the same company, Mark has started a new job in Reading, England.  But their move wasn't just motivated by the job.  Danielle is a self-described anglophile and has a passion for all things British, so Reading was the obvious choice.  Their move didn't come without sacrifices, however, as former real estate agent Danielle had to give up her business to make the move happen.  Now she'll be using her real estate experience to help them find their dream home in England, but they're about to find out that knowledge of the US market might not translate to the UK.  Hop across the pond as House Hunters International visits Reading, England.",https://www.hgtv.com/shows/house-hunters-international/episodes/lady-in-reading
