,Number,Title,Description,Link
0,"Season 125, Episode 1","Looking for Change in Chiang Mai, Thailand","A teacher from Kirkland, Washington, wants to escape her mundane life with a move to Chiang Mai, Thailand. Adapting to Thai living isn't easy, so her friend and coworker joins the house hunt to remind her why she took the big leap in the first place.",https://www.hgtv.com/shows/house-hunters-international/episodes/looking-for-change-in-chiang-mai-thailand
1,"Season 125, Episode 2",Brewery Expansion in Bangalore,"A couple decides to pack up their brewery business and move to Bangalore, India, to open the first American craft brewery in the country. While he's looking for a place with traditional Indian charm, she hopes to find a home with modern amenities.",https://www.hgtv.com/shows/house-hunters-international/episodes/brewery-expansion-in-bangalore
2,"Season 125, Episode 3",Bringing It to Berlin,"Living on a fellowship budget is not going to be easy for a family of five as they move from Las Vegas, NV, to Berlin, Germany. He's determined to find a place under budget while she wants to make sure their three sons have plenty of room and are close to their new school.",https://www.hgtv.com/shows/house-hunters-international/episodes/bringing-it-to-berlin
3,"Season 125, Episode 4",Living the Dream in Amsterdam,"After planting the idea of moving abroad in his wife's head for years, a man's dream comes true when his job offers him a position in Amsterdam. Her company has an office there too, so they decide to leave family, friends and their apartment behind for a new life in the Netherlands.",https://www.hgtv.com/shows/house-hunters-international/episodes/living-the-dream-in-amsterdam
4,"Season 125, Episode 5",Dubai by Design,"After receiving an unexpected job offer, a Texas couple and their two girls move to Dubai, UAE. Living in a dry desert next to cool, Gulf waters will be an adjustment, so he's offering to let her take charge of the interior design if she's flexible on the house hunt.",https://www.hgtv.com/shows/house-hunters-international/episodes/dubai-by-design
5,"Season 125, Episode 6",Big City Dreams in Cambodia,"Newlyweds from Helena, Montana, with an interest in Eastern culture land positions at a school in Phnom Penh, Cambodia. She wants to make sure they're comfortable and hopes to find an apartment near the action, but he knows living in the city means a longer commute to work and could be expensive.",https://www.hgtv.com/shows/house-hunters-international/episodes/big-city-dreams-in-cambodia
6,"Season 125, Episode 7","Catching the Breeze in Medellin, Colombia","A couple looks to leave the stress of his law enforcement career behind with a move to Medellin, Colombia. He wants to find a place high in the mountains where they can keep cool with the natural breeze, but she prefers to be close to stores and hopes to find a home in the valley.",https://www.hgtv.com/shows/house-hunters-international/episodes/catching-the-breeze-in-medellin-colombia
7,"Season 125, Episode 8","Big Family, Little Budget in Peniche","Chelsey, Steve and their six children are eager to explore a new culture and grow together as a family by moving from Huntsville, Utah, to Peniche, Portugal. With Steve working from home, he's concerned about steady income and refuses to break their budget. Chelsey realizes that with eight people living under one roof, everyone needs a little elbow room to stay sane. Unfortunately there are no properties that offer both budget and space, so they're destined to clash.",https://www.hgtv.com/shows/house-hunters-international/episodes/big-family-little-budget-in-peniche
8,"Season 125, Episode 9",Nomads Settle Down in Mexico,"Megsy and Tommo quit their jobs as cruise ship employees to settle down in Merida, Mexico. During their time on the high seas, they became lifestyle experts and now write a food and travel blog. They are ready to call Merida home, but are not accustomed to staying in one place for long. Can they leave the life of travel and excitement to stay in Merida permanently?",https://www.hgtv.com/shows/house-hunters-international/episodes/nomads-settle-down-in-mexico
9,"Season 125, Episode 10","The Beat of Playa Tambor, Costa Rica","After the pressures of keeping up with their busy careers in Colorado became too much to handle, a couple is ready to slow things down. They decide to buy their first home together in Playa Tambor, one of Costa Rica's hidden gems. She's looking for a secluded, natural setting where they can rest, but he's interested in unwinding with a home right on the golf course.",https://www.hgtv.com/shows/house-hunters-international/episodes/the-beat-of-playa-tambor-costa-rica
10,"Season 125, Episode 11",A Last Hurrah in Paris,"Newlyweds follow a job opportunity to Paris, France, so they can enjoy one last move before buying a house and having kids. He's a true romantic and has his heart set on finding a home with Parisian charm in the city center, no matter the cost. However, she's concerned about the budget and wants to save on a home so they have money left over to travel.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-last-hurrah-in-paris
