,Number,Title,Description,Link
0,"Season 91, Episode 7",Bicycling in Groningen,"Mike and Stacia are recent empty nesters, so when Mike got a job transfer to Groningen, Netherlands, they jumped at the chance to fulfill a lifelong dream of living in Europe. They love riding bikes and Groningen is just what the doctor ordered. Mike wants the serenity of the country life, while Stacia has her heart set on city living. Finding a compromise within their budget could be a challenge, so will they end up paying for location in Groningen, Netherlands?",https://www.hgtv.com/shows/house-hunters-international/episodes/bicycling-in-groningen
1,"Season 91, Episode 8",Fashion Designer Seeks Modern Second Home in Old Town Puerto Vallarta,"Andrew Christian's life as a fashion designer in Los Angeles is fast-paced and non-stop. He's learned that getting out of the country is a great stress reliever, so he's ready to buy a second home in his favorite escape of Puerto Vallarta, Mexico.  Andrew wants a large, ultra-modern space in Old Town, but ultra-modern and Old Town don't necessarily go together. He's used to getting what he wants, so compromise on space, style, or location, in Puerto Vallarta, Mexico, is going to be hard.",https://www.hgtv.com/shows/house-hunters-international/episodes/fashion-designer-seeks-modern-second-home-in-old-town-puerto-vallarta
2,"Season 91, Episode 9",You Gotta Downsize to Upgrade in The Hague,"George and Sven fell in love at first sight, and they built a life together in George's hometown of Dallas, Texas. But with retirement looming and Sven itching to return to his roots, the couple has decided to move back to Sven's native Netherlands. They know that space comes at a premium in The Hague, but downsizing from Texas will be a challenge. Sven thinks renovation may be the solution, but George wants to save money for travel and insists on something turnkey.",https://www.hgtv.com/shows/house-hunters-international/episodes/you-gotta-downsize-to-upgrade-in-the-hague
3,"Season 91, Episode 10",The Making of a Sommelier in Bordeaux,"Leagh and Amie had a good life in Vancouver with their son, Christian, but Leagh is weary of working long hours in a restaurant. Hoping to apply his extensive knowledge of wine to a new career, Leagh is moving his family to Bordeaux, the French capital of wine. Amie gave up a job she loved to accommodate the move, so money will be tight. They're hoping to live close to town and potential jobs, but their budget may not stretch far enough to deliver a spacious apartment near the city center.",https://www.hgtv.com/shows/house-hunters-international/episodes/the-making-of-a-sommelier-in-bordeaux
4,"Season 91, Episode 11","Squeezing into San Carlos, Mexico","Steve and Cindy McLean are the parents of ten kids in Longmont, Colorado. As the president of a manufacturing company, Steve has the opportunity to expand his business in San Carlos, Mexico. His kids are excited about their new adventure, but his wife Cindy is apprehensive about uprooting their sizable family for a new country. Cindy wants to be comfortable in their new home, so she's insistent on having a nice kitchen and a pool for the kids. Steve's also adamant about staying in budget, and no matter what, this family is going to have to improvise to squeeze into a new life in San Carlos, Mexico.",https://www.hgtv.com/shows/house-hunters-international/episodes/squeezing-into-san-carlos-mexico
5,"Season 91, Episode 12","Functionality vs. Old-World Charm in Warwickshire, England","After living in the same Massachusetts community their entire lives, high school sweethearts are moving their family across the pond to Warwickshire County, England, the 16th-century home of famous playwright William Shakespeare. She wants a house full of Old-World British charm, while he's more concerned about it being functional for their family of six. And one of them will have to compromise for this house hunt to have a storybook ending.",https://www.hgtv.com/shows/house-hunters-international/episodes/functionality-vs-old-world-charm-in-warwickshire-england
6,"Season 91, Episode 13","Mermaid and Family Follow the Current to Hawke's Bay, New Zealand","In the interest of slowing down and realigning as a family, Ashley and Greg have decided to make a drastic move down under, to Hawke's Bay, New Zealand. The area is a perfect fit in most ways: Greg has a great new job, there's a track to support his beloved drag racing hobby, and the ocean is nearby for the first time ever, which is a dream come true for professional mermaid Ashley. But with a strict red line on their budget, the family is finding that their long wish list isn't adding up.",https://www.hgtv.com/shows/house-hunters-international/episodes/mermaid-and-family-follow-the-current-to-hawkes-bay-new-zealand
7,"Season 92, Episode 1",Back to Our Roots in Jamaica,"Shauna and Tamika Barnes are going on a house hunt in their family's homeland of Jamaica. With five family members involved and their parents on a fixed income, it won't be easy to find a property that satisfies everyone's wish list. Mom wants an ocean view, but Dad wants fruit trees. Tamika wants a turnkey home, but Shauna wouldn't mind putting in a little work on the right place. The Barnes' dream of owning a little piece of Jamaica is about to come true, but not without compromise.",https://www.hgtv.com/shows/house-hunters-international/episodes/back-to-our-roots-in-jamaica
8,"Season 92, Episode 2","Style Standoff in Okinawa, Japan","Daniel and Jessica are to stepping out of their comfort zone for Jessica's new job in Okinawa, Japan. Jessica wants to embrace the traditional side of Japan, while Daniel wants to raise their daughter Eden in a place that matches his contemporary tastes. Real estate agent Mario Long will have to pull out all the stops to try and get them something they can agree on.",https://www.hgtv.com/shows/house-hunters-international/episodes/style-standoff-in-okinawa-japan
9,"Season 92, Episode 3","Living for the Weekend in Nagoya, Japan","Trey's work has kept him hopping between the US and Japan for 20 years. A new job opportunity is taking him and his family back to Japan, but this time with some new challenges. Trey's job is located in a rural area without an international school for his daughters, so they and his wife Larissa must live 75 miles away in the city of Nagoya. During the week, Trey will live in an apartment near work and come home to his family on the weekends. This is a common arrangement for families in Japan, but a big adjustment for the Hoffmans.",https://www.hgtv.com/shows/house-hunters-international/episodes/living-for-the-weekend-in-nagoya-japan
