,Number,Title,Description,Link
0,"Season 84, Episode 5",From California to Switzerland,"Years ago, Alexis made a promise to his wife Zuleimy that someday, somehow, they would find a way to live in Europe. That was her dream and now, with a job opportunity in Zurich, Alexis can finally keep that promise. He is fascinated by Zurich's history and the charm of its older buildings. She wants to find a more modern place with every convenience. It's a challenge to combine those very different wish lists into one affordable home. Their house hunt takes them to a restored farmhouse, a pleasant apartment close to town and a modern flat near Zurich's center. There are no losers with this house hunt. Just one winner.",https://www.hgtv.com/shows/house-hunters-international/episodes/baby-steps-from-johannesburg-south-africa-to-windhoek-namibia-1
1,"Season 84, Episode 6","Baby Steps from Johannesburg, South Africa to Windhoek, Namibia","Ryan and Tracey are a young couple from Johannesburg, South Africa. They have recently married after knowing each other practically since birth.  They were born 3 weeks apart to parents who are also friends.  Now young adults with jobs, they both felt the need to break away to see what life is like beyond Joburg. Being slightly risk averse, they are taking their first baby steps together again, venturing just across the border to Windhoek, Namibia, where Ryan's current employer has a job for him.",https://www.hgtv.com/shows/house-hunters-international/episodes/baby-steps-from-johannesburg-south-africa-to-windhoek-namibia
2,"Season 84, Episode 7",Australia's Northern Beaches Budget Battle,"Jen and Lou are trading the beaches of Fort Lauderdale for the Northern Beaches of Australia. Lou got a job offer he just couldn't refuse, so he and Jen and two of their three boys are relocating to the Northern Beaches, just outside of Sydney. Although excited about their new adventure 'Down Under,' it's an emotional move since their oldest son must stay back in the states to finish college. And, since, Jen is also leaving her job as a nurse until she can become certified in Australia, the family only has one income. Jen is adamant they keep their finances in check, but she and Lou are discovering there's a price to pay to live in paradise. To get the beach view and two bathrooms Jen wants, they're going to have to spend more. Lou's ready to go up in price to get their dream house, but he'll have a tough time convincing Jen to stretch her strict budget.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-florida-couple-must-bust-their-budget-to-get-an-ocean-view-in-australias-northern-beaches
3,"Season 84, Episode 8",Believe I Can Playa del Carmen,"Laura and Kevin both work hard in Colorado Springs, and they're looking for a place to relax and unwind in Playa del Carmen, Mexico.  But their money won't get them as far as they'd like, so they've invited Laura's parents, Gary and Sarah, to go halfsies on a new home.    But Gary and Sarah have much different tastes than Laura and Kevin and are looking for entirely different things in a vacation home.  Find out if the two couples can reach a compromise as House Hunters International takes a siesta in Playa del Carmen, Mexico.",https://www.hgtv.com/shows/house-hunters-international/episodes/believe-i-can-playa-del-carmen
4,"Season 84, Episode 9","Horsing around in Pedasi, Panama","With the cost of raising their three kids in Texas increasing by the day, Robert & Candace decided to look abroad for a cheaper way of life.  They discovered the Panamanian town of Pedasi, which would provide new cultural experiences at a price that could allow their daughter to accomplish her dream of owning her own horse.  But with three bedroom homes a rarity in this small town, Robert & Candace are going to have to think outside the box to find their perfect property in Panama.",https://www.hgtv.com/shows/house-hunters-international/episodes/horsing-around-in-pedasi-panama
5,"Season 84, Episode 10",A Lot to Learn in Madrid,"Pete and Michelle have done long distance before, so when Pete got accepted to business school in Madrid, it was a given that fiancé Michelle would come along. But while the move may be good for their relationship, it will put a strain on their finances. Michelle has to leave her job to move abroad, and Pete will be a full time student, unable to work. Still, with so much to give up, Michelle wants to make sure they maximize their experience, including finding a centrally located home with authentic Spanish style. The couple will have to balance Michelle's wish list with Pete's practical business school sensibility, and their thin wallet, if the gamble in Madrid is going to be worth everything it costs.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-lot-to-learn-in-madrid
6,"Season 84, Episode 11",Turin Down For What,"Nick and Rebecca Chin share a love for travel and family. During college they volunteered at an orphanage in Mexico. While there they both decided they'd one day like to adopt a baby of their own. After marriage they planned on adopting from China since that was Nick's heritage. However, Chinese adoption rules prevent them from beginning the process until they were 30 years old. Now finally old enough to apply for the adoption they've begun the paperwork in Batavia, Illinois. Then Nick's job transferred him to Turin, Italy. Where they'd have to start the process all over again; including a home inspection of their new place.",https://www.hgtv.com/shows/house-hunters-international/episodes/turin-down-for-what
7,"Season 84, Episode 12",Empty nesters in Campinas,"Empty nesters Skotti and Ricardo move to Brazil for Skotti's new job in the automotive industry. Ricardo will not be working in Brazil, so he wants to find his home away from home while Skotti is more concerned about staying within their budget. A new country, a new job and thousands of miles away from their families, finding a good compromise, will help them settle in Campinas, Brazil.",https://www.hgtv.com/shows/house-hunters-international/episodes/empty-nesters-in-campinas
8,"Season 84, Episode 13",Home to Hampshire,Dee and Jason are sad to leave the comfortable life in Tulsa Oklahoma but excited to be moving back home to Hampshire in the United Kingdom.   Jason got a job transfer but looking for a house with the same amount of space they had in Oklahoma is a challenge.  Will they really want to settle for half the space at twice the money?  Or will they find a way to  stretch the budget for more space?,https://www.hgtv.com/shows/house-hunters-international/episodes/home-to-hampshire
9,"Season 85, Episode 1",Nancy Drew Their Hearts,"Karinna and Dario were leading a peaceful life in California while awaiting the birth of their first child. Seven months into the pregnancy, Dario accepted a professorship in Nancy, France, and their world was shaken up. Traveling halfway across the world, Karinna and Dario are racing to find the perfect house before their child arrives. Each has his or her own ideas about the perfect French home, but will any be obtainable while also doing what's best for the baby?",https://www.hgtv.com/shows/house-hunters-international/episodes/nancy-drew-their-hearts
