,Number,Title,Description,Link
0,"Season 2, Episode 11","Same Town, Smaller Home","Jenny and James Tweats have been married for seven years and have two little boys, 5-year-old Ben and 3-year-old Sam. The Tweats currently live in a four-bedroom, three-bathroom house in the quiet and beautiful village of Alsager, England. Jenny wants to cut back on the hours she spends teaching school to have more time with her boys, so with less money coming in, they'll need a new home with a lower monthly payment. The Tweats are willing to compromise on space but not on the location—they want to stay in Alsager. They've hired real estate agent Deborah Hollamby to help them with their search.",https://www.hgtv.com/shows/house-hunters-international/episodes/same-town-smaller-home
1,"Season 2, Episode 12",Relocating to Rome,"Newlyweds Allison Poulos, a Connecticut native, and Massimo Salerno, an Italian native, are excited to begin their lives together in Rome, Italy, but right now they are living with Massimo's mother, Elsa, in her small flat on the outskirts of the city. The pair need more space for themselves, their wedding gifts, and their dog, Finley, and they want to live much closer to the historic center of Rome. Unfortunately, flats are historically hard to come by there, and are often snatched off the market in days. Agent Marina Carboni signs on to help with the search.",https://www.hgtv.com/shows/house-hunters-international/episodes/relocating-to-rome
2,"Season 2, Episode 13",Outward to Orewa,"Brenda and David Goodstone have been married for 10 years and live with their sons in a suburb of Auckland, New Zealand. Five years ago they sold their first home and moved their family into a four-bedroom rental so they could afford to buy a café in Auckland. Their investment paid off and they sold the café for a profit. Now they want to find a house in the popular beach town of Orewa for their twin boys, Blake and Aaron, to call home. They want at least five bedrooms, a garage and space for a pool. Real estate Brett Bogue signs on to help the Goodstones with their quest.",https://www.hgtv.com/shows/house-hunters-international/episodes/outward-to-orewa
3,"Season 3, Episode 1",British Couple Buys Vacation Home by the Beach in Thailand,"Sweethearts Julie and Mark Taylor got married 5 years ago and currently live in a long narrow house that used to be the local sweet shop. They fell in love with Thailand while on vacation there and want to buy a second home there. They want a place that is modern in style and with at least 2 bedrooms and 2 bathrooms. They'd love to have a large patio with sea views too. Their budget is $440,000 US and with three amazing choices they have a tough decision to make.",https://www.hgtv.com/shows/house-hunters-international/episodes/british-couple-buys-vacation-home-by-the-beach-in-thailand
4,"Season 3, Episode 2",Buying a First Home on the Island of St. Thomas,"Moneca Pinkett has lived on St. Thomas for five years and she's ready to make the Virgin Islands her permanent home.  Since she runs her own internet business, she is looking for a home where she can relax and work. Outdoor space and an ocean view are high on her wish-list, as well as space for a home office. Living in the tropics can be expensive, so Moneca is also hoping to find a place with a separate unit that she can rent out that works within her budget of $450,000.",https://www.hgtv.com/shows/house-hunters-international/episodes/32-year-old-moneca-pinkett-is-buying-her-first-home-on-the-island-of-st-thomas
5,"Season 3, Episode 3",Fitness Pros Escape the Heat in Fiji,"Nichole and Jeremy both work in the fitness industry - she's a personal trainer and he runs a fitness website. They live in Chandler Ariz., which is great for about six months of the year, but the rest of the time it's brutally hot. Since they can work from anywhere, they've decided to buy a vacation home in Fiji so they can live at least part of the year there. They want a home with 3 or 4 bedrooms that's in the $350,000 to $400,000 price range. They also desire a large kitchen, an open floor plan, and an ocean view.  With three spectacular vacation homes to choose from, Nichole and Jeremy have a tough decision to make.",https://www.hgtv.com/shows/house-hunters-international/episodes/arizona-fitness-pros-want-to-escape-the-heat-by-buying-a-second-home-in-fiji
6,"Season 3, Episode 4",Getaways in the Dominican Republic,"Patrick and Diane love life in their large, comfortable home in the suburbs of New Jersey.  But when the winter days get longer, darker, and colder, they find themselves dreaming of beach chairs and sunshine.  They started vacationing in the Dominican Republic several years ago, mostly because their good friend Ina lives there, and they've fallen in love with the place.  They're ready to buy a vacation home of their own, and welcome the help of their friend Ina, a real estate consultant.  With a limited budget of $200,000, their wish list calls for two bedrooms, two baths and low-maintenance.  Will they be able to find their own bit of paradise?",https://www.hgtv.com/shows/house-hunters-international/episodes/real-estate-consultant-ina-hapke-shows-her-dear-friends-patrick-and-diane-beach-getaways-in-the-dominican-republic
7,"Season 3, Episode 5",Vacation Cabin on the Placencia Peninsula in Belize,"Canadians Antonio and Alison Marquez have been living in Victoria, British Columbia for more than 10 years now,  traveling to warmer climates during the vicious winters.  They decided to buy a vacation home in Belize where they can spend the winter holidays basking in the sun.  The biggest challenge is finding the right property for that's within their $150,000 budget and is a short walk to the beach.  Their needs are pretty simple - a one-room cabin would be fine, as long as it has a view of the water, good-sized kitchen and enough room to have a living area and bedroom space.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-couple-want-to-escape-the-brutal-canadian-winters-and-buy-a-vacation-cabin-on-the-placencia-peninsula-in-belize
8,"Season 3, Episode 1",Searching for Stockholm Space,Follow an American art student searching for a space to spread his creativity in Stockholm Sweden.,https://www.hgtv.com/shows/house-hunters-international/episodes/searching-for-stockholm-space
9,"Season 3, Episode 2",Escape to Costa Rica,Join a couple searching for the perfect tropical respite from their otherwise hectic lives.,https://www.hgtv.com/shows/house-hunters-international/episodes/escape-to-costa-rica
10,"Season 3, Episode 3",More Space in St. Maarten,"Two bedrooms; two baths; by the beach; for only $200,000? Now that's a tall order!",https://www.hgtv.com/shows/house-hunters-international/episodes/more-space-in-st-maarten
11,"Season 3, Episode 4",Turks and Caicos Condo Search,"Christine Morden has enjoyed her fast-paced life as a political attorney in Washington, D.C., but after a decade, she's ready to ditch public policy to pursue her lifelong passion of photography in a new tropical island dream home. She is looking for a spacious condo in the Caribbean islands of Turks & Caicos. She wants to be close to the beach and have a great view for less than $250,000. She enlists real estate agent Lavern Skippings to help with the search.",https://www.hgtv.com/shows/house-hunters-international/episodes/turks-caicos-condo-search
12,"Season 3, Episode 5",Making the Move to Mexico,"World traveler and artist Malaya Quinn and her teenage daughter, Grace, have been living in northern California for the last 13 years, but they are beginning to feel a little restless and in need of a change of scenery. In a past visit to the Yucatan, they were really taken by the town of Merida — so much so that they have decided to move down there and buy a place. Enter real estate agent Paula Sievert, who is pretty confident that she can find a small Colonial within their budget in the historic part of Merida.",https://www.hgtv.com/shows/house-hunters-international/episodes/making-the-move-to-mexico
