,Number,Title,Description,Link
0,"Season 132, Episode 11","A Taste of Chang Mai, Thailand","Aspiring chef Flora has always been interested in learning about Northern Thai cuisine, and the culinary school graduate is ready to fully immerse herself in the country's rich flavors with a move to her husband Note's hometown of Chiang Mai. But in Thailand, the modern kitchen that Flora is used to is almost nonexistent, and with Note setting a hard line on price, cooking in Chiang Mai may be a tough order to fill.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-taste-of-chang-mai-thailand
1,"Season 132, Episode 12","New Love, New Home, New Rules in Sydney","A newly engaged couple that has never left Philadelphia or lived under the same roof together decides to take the leap and move to Sydney to pursue a job opportunity. But these two are challenged to figure out their new country, new home and new set of relationship rules with nothing familiar around to hold them back or prop them up.",https://www.hgtv.com/shows/house-hunters-international/episodes/new-love-new-home-new-rules-in-sydney
2,"Season 132, Episode 13",A Family Feud in Freising,"After eight years in Canada, a couple decides to move with their two young children to his native Freising, Germany. He hopes to relive his childhood experiences there with his children, however she has her mind set on the Bavarian countryside. While the move is intended to bring this young family closer together, they must reconcile visions that are worlds apart.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-family-feud-in-freising
3,"Season 133, Episode 1",Stress Less in Cabo,"A San Diego couple is looking to regain control of their lives. Believing that a scenery change will do wonders for his high blood pressure, she's pushing for a move to Cabo San Lucas. There's no such thing as a truly stress-free life, and worries about money will follow them across the border.",https://www.hgtv.com/shows/house-hunters-international/episodes/stress-less-in-cabo
4,"Season 133, Episode 2",Swimming to Limerick,"Competitive swim coaches Mark and Sarah were ready to jump the pond when she was offered a position in Limerick, Ireland. Rents in Limerick are high and living on one income will be an adjustment. He wants to be comfortable, but finding his ""Little Irish Castle"" for $1,400 a month will be like hunting for a pot of gold at the end of the rainbow.",https://www.hgtv.com/shows/house-hunters-international/episodes/swimming-to-limerick
5,"Season 133, Episode 3","Ready or Not in Bristol, England","Erin and Sean have always lived in California with their two daughters and two dogs. When Sean was offered a position in Bristol, England, he shocked his wife by taking it. Erin had no plans to leave her teaching job of 18 years or the beautiful California weather. Finally convinced it would be a great opportunity for the kids, Erin is a newbie stay-at-home mom who makes it her business to find a home that suits her just right.",https://www.hgtv.com/shows/house-hunters-international/episodes/ready-or-not-in-bristol-england
6,"Season 133, Episode 4",Canadians in Cambodia,"Bored with life in Vancouver, millennials Nick and Raychel are moving to Cambodia sight unseen for the adventure of a lifetime. Skater Nick's laid-back personality suits the relaxed and simple living offered in Phnom Penh, but Raychel realizes that she may be in over her head. Her quest for western amenities is harshing Nick's chill vibes, but he hopes she can come around to his way of thinking.",https://www.hgtv.com/shows/house-hunters-international/episodes/canadians-in-cambodia
7,"Season 133, Episode 5","Have Baby, Will Travel","A globetrotting couple follows a job opportunity to Johor Bahru, Malaysia, to prove having a baby doesn't mean settling down. However, the only thing they agree on is that the city's lush greenery offers a better environment for raising their son.",https://www.hgtv.com/shows/house-hunters-international/episodes/have-baby-will-travel
8,"Season 133, Episode 6",Opposites Attract in Tamarindo,"After vacationing in Tamarindo, Costa Rica, an overworked couple fell in love with the climate, beach and laidback lifestyle. They both want to get away from long commutes and spend more time together, but he wants a rustic and remote hideaway while she wants something modern and centrally located.",https://www.hgtv.com/shows/house-hunters-international/episodes/opposites-attract-in-tamarindo
9,"Season 133, Episode 7","Haunting in Kaiserslautern, Germany","A military family is moving to Kaiserslautern, Germany, and need a large home. They know European houses are usually smaller, but she is determined to find an old house with quintessential German charm. He's dreadfully afraid of ghosts, though, and convinced that old German houses will have old German secrets.",https://www.hgtv.com/shows/house-hunters-international/episodes/haunting-in-kaiserslautern-germany
