,Number,Title,Description,Link
0,"Season 145, Episode 1",Family Move to Groningen,"A pastor, professor and their teen daughter are moving, sight unseen, from Kansas City to Groningen, Netherlands. They dream of an authentic experience, but their disagreements may place a genuine Dutch lifestyle beyond their reach.",https://www.hgtv.com/shows/house-hunters-international/episodes/family-move-to-groningen
1,"Season 145, Episode 2","Worlds Collide in Accra, Ghana","A newly engaged couple moves to Accra, Ghana, to live together for the first time. He's lived in Africa before and is open to anything. However, she is much more particular about their housing, and launching a new startup means he may not want to fund fancy amenities.",https://www.hgtv.com/shows/house-hunters-international/episodes/worlds-collide-in-accra-ghana
2,"Season 145, Episode 3",Going for Broke in Sydney,"A job opportunity for Dad brings a young family to Sydney, Australia. But after uprooting her life in chilly Minnesota, Mom wants to go all in on beach life at any cost.",https://www.hgtv.com/shows/house-hunters-international/episodes/going-for-broke-in-sydney
3,"Season 145, Episode 4","From Vancouver to the Vineyards of Epernay, France","A wine connoisseur moves with her family to Epernay, France, in the heart of the Champagne region. They consider the options between the sprawling vineyard countryside and the bustling town center, but there's no easy answer as they decide what's best for their 8-year-old daughter.",https://www.hgtv.com/shows/house-hunters-international/episodes/from-vancouver-to-the-vineyards-of-epernay-france
4,"Season 145, Episode 5",Rest and Relaxation in Mexico,"After a long recovery from a motorcycle accident sparks a new outlook on life, a young couple starts over on the beaches of Mexico. They came to reset and relax, but the house hunt marks the first time they've ever had real conflict.",https://www.hgtv.com/shows/house-hunters-international/episodes/rest-and-relaxation-in-mexico
5,"Season 145, Episode 5",Rest and Relaxation in Mexico,"After a long recovery from a motorcycle accident sparks a new outlook on life, a young couple starts over on the beaches of Mexico. They came to reset and relax, but the house hunt marks the first time they've ever had real conflict.",https://www.hgtv.com/shows/house-hunters-international/episodes/rest-and-relaxation-in-mexico
6,"Season 145, Episode 6","Outer Space in La Serena, Chile","When the family breadwinner is an aerospace engineer, there's no better place to move than the research town of La Serena, Chile. However, the kids feel like they may as well move to outer space, and don't hesitate to share their strong opinions.",https://www.hgtv.com/shows/house-hunters-international/episodes/outer-space-in-la-serena-chile
7,"Season 145, Episode 7","College Besties Reunite in Manta, Ecuador","A Spanish teacher, who loves all things Latin, seeks a vacation home in Manta, Ecuador. It's too much for a teacher's salary, so her beach-loving family agrees to pool resources to make it happen. But now they must find a place that pleases everyone.",https://www.hgtv.com/shows/house-hunters-international/episodes/college-besties-reunite-in-manta-ecuador
8,"Season 145, Episode 8",Luxury vs. Economy in Vietnam,"Born and raised in Reading, Pennsylvania, two half-brothers decide on a whim to move to Vietnam. One is looking for luxury at any cost, while the other has a more conservative point of view, given that they're living temporarily off savings.",https://www.hgtv.com/shows/house-hunters-international/episodes/luxury-vs-economy-in-vietnam
9,"Season 145, Episode 9",Swapping Cities Inside Vietnam,"A young couple moves from Hanoi to Ho Chi Minh City, Vietnam, ready to take the next step in their relationship. They're all-in on the move, but leaving their comfort zone and choosing where to live in the new, glamorous city launches an unexpected battle of wills.",https://www.hgtv.com/shows/house-hunters-international/episodes/swapping-cities-inside-vietnam
