,Number,Title,Description,Link
0,"Season 21, Episode 1",Spanish Colonial Homes in Nicaragua,"Lesley and Uli quit their jobs as executives for a three month sabattical to travel around North and South America in a RV named Harvey. Soon, three months turned into four years and they're still exploring. Inspired by their travels abroad, Leslie and Uli are now looking to settle down in a Spanish Colonial style home with enough space to entertain. They would like to have a nice kitchen and they are not opposed to a fixer-upper. With a budget of $200,000, and the help of real estate agent Carlos Gutierrez, this European couple should be able to make the move from Harvey to a home when House Hunters makes the long drive to Grenada, Nicaragua.",https://www.hgtv.com/shows/house-hunters-international/episodes/spanish-colonial-homes-in-nicaragua
1,"Season 21, Episode 2","Village Life in Bitburg, Germany","After spending six years in Japan,  Craig has been offered a job in Germany, and sees this move as a way for he and his wife Diane to expose their children to  European culture. They are leaving the lone star state behind to give their children a life  that others can only dream about. Unfortunately, this transatlantic move will not be a walk in the park. Not only is the pricing completely different, but most German homes require you to bring your own kitchen! With the help of real estate agent Gaby Otte,and a budget of $315,000 the Clarks should be able to find their perfect home in this foreign land when House Hunters makes the journey to Bitburg, Germany.",https://www.hgtv.com/shows/house-hunters-international/episodes/village-life-in-bitburg-germany
2,"Season 21, Episode 3","City Life in Santiago, Chile","Emily is saying goodbye to her father in Los Altos, CA, and hello to her fiance Rodolfo, a Chilean native, who she met while attending a study abroad program in Santiago, Chile.  While Emily is nervous about saying goodbye to her home and learning to live independently in a new city,  Rodolfo is looking forward to buying a new place to call home for himself and his future wife. It turns out, the perfect place might be hard to come by. Real estate agent Matt Ridgeway has a challenge on his hands as he attempts to find a two to three bedroom home close to downtown with a budget as $150,000. The budget isn't the only thing to contend with as House Hunters International lands 6,000 miles south of the equator, in Santiago, Chile.",https://www.hgtv.com/shows/house-hunters-international/episodes/city-life-in-santiago-chile
3,"Season 21, Episode 4","Staying in Brussels, Belgium","The White family has had three great years in Brussels, ever since Simonne and Tony moved their three girls out there for a military posting. Now that Tony's job is wrapping up, they are still not ready to call it quits and leave behind this city and its unique culture to head back to their native Canada. Unfortunately, owning a home in Brussels is a lot more complicated than renting, especially with the fifteen percent upfront taxes they will need to pay. The Whites are looking for a four to five bedroom home close to Tony's work with a yard big enough for their two large dogs that is within their $650,000 budget. Tony and Simonne don't know anything about buying a home in Europe, so luckily real estate agent Audrey Ferry will be there to hold their hands throughout the process when House Hunters International travels to Brussels, Belgium.",https://www.hgtv.com/shows/house-hunters-international/episodes/staying-in-brussels-belgium
4,"Season 21, Episode 5","Fleeing to Fredrikstad, Norway","Bjorn and Tressa are trading suburban luxury for life in the land in the midnight sun, but they're finding out that what comes standard back in the states is completely foreign here. A move to Bjorn's native land is the only way he can trade his job as a ship's engineer to one on dry land. While this means more time for the family, Tressa and the kids might be in for a few surprises. Not only is Bjorn afraid of the culture shock that Tressa may experience but they must leave behind all of their loving friends and family. Today, Fredrikstad's historic buildings are considered classic examples of Norwegian style, but for Tressa, whose dream house is an American house that's set in Norway, that's not necessarily a good thing. Fortunately real estate agent, Stian Huse has a few tricks up his sleeve that just may help them. With a busted budget of $500,000 they're ready to try just about anything as House Hunters International sets sail for the windy coastal town of Fredrikstad, Norway.",https://www.hgtv.com/shows/house-hunters-international/episodes/fleeing-to-fredrikstad-norway
5,"Season 21, Episode 6","Starting over in Tokyo, Japan.","Chris Polley is searching for inner peace. After quitting his job as a broker on Wall Street and revaluating what he wants in life, he decides to take a teaching job in Japan. Japan is an island nation whose geography limits the amount of available living space, and as a result everything costs more. This has led to a thriving market for rental homes in Tokyo, the most expensive city in the world.  Luckily estate agent, Fumiaki Kimura, specializes in finding low cost rentals for foreigners. Chris will need to be wary of  tight quarters and hidden fees.  With the hopes of a spacious apartment close to mass transportation, and  a of a budget of $2,300 a month, Chris may need to compromise something from his wish list. Soon he'll be saying domo arigato before he's done, as House Hunters International heads to Tokyo.",https://www.hgtv.com/shows/house-hunters-international/episodes/starting-over-in-tokyo-japan
6,"Season 21, Episode 6","Starting over in Tokyo, Japan.","Chris Polley is searching for inner peace. After quitting his job as a broker on Wall Street and revaluating what he wants in life, he decides to take a teaching job in Japan. Japan is an island nation whose geography limits the amount of available living space, and as a result everything costs more. This has led to a thriving market for rental homes in Tokyo, the most expensive city in the world.  Luckily estate agent, Fumiaki Kimura, specializes in finding low cost rentals for foreigners. Chris will need to be wary of  tight quarters and hidden fees.  With the hopes of a spacious apartment close to mass transportation, and  a of a budget of $2,300 a month, Chris may need to compromise something from his wish list. Soon he'll be saying domo arigato before he's done, as House Hunters International heads to Tokyo.",https://www.hgtv.com/shows/house-hunters-international/episodes/starting-over-in-tokyo-japan
7,"Season 21, Episode 7","Escape to Barcelona, Spain","For years Julia's work schedule has been more than overwhelming, but her heart is 6,000 miles away.  After taking a trip to Barcelona, she fell in love with the culture, people, and architecture. To reconnect with her spirit and close friends Julie grabs the next flight from Los Angeles to Barcelona, Spain. Unless you're a local, buying property in Barcelona can be a tough nut to crack, but estate agent Benny Mouckley's specialty is helping foreigners fit in. With a $340,000 budget, Julia wants to find a place close to the beach, with lots of character, and close to amenities. However, in Barcelona, the buildings are a lot older and the apartments are a lot smaller. Space, style, and proximity to the beach come at a premium, so Benny has his work cut out for him. Can she find solace and a home along the Spanish Riviera, or will tension rear its ugly head here too?  Find out when House Hunters International lands in Barcelona, Spain.",https://www.hgtv.com/shows/house-hunters-international/episodes/escape-to-barcelona-spain
8,"Season 21, Episode 8",Pay Now or Pay Later in Malmo,"London wasn't the best fit for raising their baby boy Alfie and Ray and Anna-Lena saw the writing on the wall: moving to Sweden promised a fresh start.  But their demand for superb home decor isn't the only thing running high.  Could the high price points around Malmo's most tony zip code mean a fixer-upper is their only option?  With real estate agent Mia Petterson by their side they'll soon find out - when House Hunters heads to the modern Slottsstaden neighborhood of Malmo, Sweden.",https://www.hgtv.com/shows/house-hunters-international/episodes/pay-now-or-pay-later-in-malmo
9,"Season 21, Episode 9","Newlyweds in Stockholm, Sweden","Brandon and Hanna met in college, and got married right after graduation.  But Hanna is homesick for her native Sweden, and Brandon is tempted by a free post-graduate education at Sweden's famous Royal Academy, so the couple sell off their few worldly possessions and fly nearly five thousand miles to start married life together in Stockholm.  Having scraped together nearly $250,000, they're expecting to find a roomy flat near the trendy Kungsholmen district in central Stockholm ? and they're counting on real estate agent Mikeal to make it happen.  But Stockholm is crowded and expensive, and available listings are sold so fast that the local agents depend on text messaging to keep up.  The couple quickly realizes how little their $250,000 budget will actually buy them, and realize they might have to make an uncomfortable compromise as House Hunters International sets off for Stockholm, Sweden.",https://www.hgtv.com/shows/house-hunters-international/episodes/newlyweds-in-stockholm-sweden
