,Number,Title,Description,Link
0,"Season 93, Episode 12",St. John Someday,"A Washington, DC, couple is planning for their future life together. They are fulfilling her dream of living in St. John, US Virgin Islands, but he needs the home to be under budget and rentable until retirement.",https://www.hgtv.com/shows/house-hunters-international/episodes/st-john-someday
1,"Season 93, Episode 13",Wine or Beach in South Africa,A couple is hunting for a home on the Western Cape of South Africa. He wants to start a business in Cape Town and live near the beach. She prefers a home close to the exclusive equestrian academy she's attending in the vast winelands to the east.,https://www.hgtv.com/shows/house-hunters-international/episodes/wine-or-beach-in-south-africa
2,"Season 94, Episode 1","A California Couple Leaves Careers for Life in Umbria, Italy","An overseas trip to visit friends in Italy sparked Joseph and Paul's spontaneous decision to leave their careers and their newly renovated home in California and relocate to Umbria, Italy. But finding a house in the quaint Italian province isn't as easy as they hoped. One is looking to live in the heart of a city or village, while the other prefers the countryside. Neither is thrilled about another renovation, but that may be a reality they have to face no matter which home they choose!",https://www.hgtv.com/shows/house-hunters-international/episodes/a-california-couple-leaves-careers-for-life-in-umbria-italy
3,"Season 94, Episode 2","Miami Couple Renovates Second Home in Lake Como, Italy","Alex and Rosa have high-pressure jobs working for the time-sensitive cargo industry in Miami, Florida. Whenever they needed an escape, they've taken trips over the years to Italy's tranquil Lake Como. They've decided to have an even deeper connection to the lake by purchasing a second home there, but with prices in this exclusive area on the pricey side, they'll need to tackle a renovation to afford the house they want. With Rosa's sky's the limit approach to creating the perfect place, Alex will have his hands full keeping her from breaking the bank.",https://www.hgtv.com/shows/house-hunters-international/episodes/miami-couple-renovates-second-home-in-lake-como-italy
4,"Season 94, Episode 3","Flight Attendants Land in Sicily, Italy","House flipping flight attendants Bob and Phyllis are moving to Sicily, Italy, after they were tipped off to the good deals by their daughter, Jessie. However, first they'll have to agree on how big a project they can take on before this dream takes flight.",https://www.hgtv.com/shows/house-hunters-international/episodes/flight-attendants-land-in-sicily-italy
5,"Season 94, Episode 4","Serious for Sand in Guanacaste, Costa Rica","Standup comedian Kelly and nurse practitioner Marci have sacrificed family time for their demanding careers.  They are looking to grow closer together and embrace the laid back 'Pura Vida' lifestyle they fell in love with during a vacation to Guanacaste, Costa Rica. Kelly makes jokes for a living, but he is completely serious about his belief that a beachfront home will provide the best bonding experience. Marci feels the bustling Playas del Coco area can give them a wide array of activities to enjoy with her son, Jacob. Unfortunately, on Kelly's single income, they won't escape the stress of trying to find an affordable house that pleases them both in Costa Rica.",https://www.hgtv.com/shows/house-hunters-international/episodes/serious-for-sand-in-guanacaste-costa-rica
6,"Season 94, Episode 5","A Mississippi Family Uses Life Savings to Relocate to Cuenca, Ecuador","In search of a low-cost lifestyle abroad, Michael and DeAnna use their life savings to relocate from Biloxi, Mississippi, to Cuenca, Ecuador. Their two girls will have to finish high school in Ecuador so living in the center of town would maximize their cultural experience. However, outside the city would allow for expanded space for entertaining and room for the family's three dogs. Since DeAnna is all about entertaining, getting her to compromise on space when choosing a new place is an uphill battle for Michael.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-mississippi-family-uses-life-savings-to-relocate-to-cuenca-ecuador
7,"Season 94, Episode 6","Texans Upgrade Their Lifestyle in Tulum, Mexico","Jo and Sarah are lifelong Texans who have never lived far from Austin. But they fell in love with Tulum, a Mexican village best known for its majestic Mayan ruins, and a long term goal to one day move there was set. When policewoman Jo retired from the force, the couple decided to make their move. They're all-in on a lifestyle upgrade to Tulum, but Sarah still has to commute to Austin monthly for work. They'll have to find a way make Tulum affordable and accessible, without compromising the space or location that makes it all worthwhile.",https://www.hgtv.com/shows/house-hunters-international/episodes/texans-upgrade-their-lifestyle-in-tulum-mexico
8,"Season 94, Episode 7",Utah Couple Searches for Mexican Bed and Breakfast,"Craig and Jill have sold their very successful Mexican restaurant in Park City, Utah, and are moving to their favorite vacation spot, Puerto Morelos, Mexico. After living the chaotic lifestyle of restaurant owners, they want to try to relax, while at the same time start a bed and breakfast and bring in the income that they left behind in Utah. They need to find a home that works for them and their anticipated guests.  Jill is more nervous about the venture, and wants to find a turnkey, move-in-ready property, but Craig wouldn't mind doing a little renovation and putting his own stamp on it.",https://www.hgtv.com/shows/house-hunters-international/episodes/utah-couple-searches-for-mexican-bed-and-breakfast
9,"Season 94, Episode 8","A Young Writer Seeks Future in Barcelona, Spain","Andrew grew up in the United States with many siblings, and due to his father's service in the military, his siblings lived all over the world, including spending some time in Spain. Andrew never got that opportunity, and as an adult moved to Madrid to pursue his passion for writing and fulfill his dream of one day living in Spain himself. But when work was hard to find, Andrew realized the only way to keep his dream alive was to move to nearby Barcelona, where he was able to secure a job.  Now with the stakes higher than ever, Andrew's parents are coming along on the house hunt to make sure he finds something sustainable for his future in Barcelona.  And while his parents are interested in seeing their son in a functional, affordable apartment, Andrew is more concerned with being immersed in the cultural center of the city.  Find out who gets their way as House Hunters International visits Barcelona, Spain.",https://www.hgtv.com/shows/house-hunters-international/episodes/a-young-writer-seeks-future-in-barcelona-spain
