,Number,Title,Description,Link
0,"Season 47, Episode 9","First Time Buyers Have Conflicting Visions in Kaiserslautern, Germany","Teachers for the American military schools, Xavier and Nicole have spent nearly ten years in Sasebo, Japan.  Now, they're being transferred to Kaiserslautern, Germany, and with two young sons in tow, they've decided the time is right to jump on the property ladder. Intrepid travelers, they've voyaged far and wide, but as first-time buyers the property market is unchartered territory, made all the more daunting by a new culture and a language barrier.  Nicole is hoping for a fixer-upper that will allow her to make her mark, but Xavier is set on a turnkey property they can move right into.  Watch as real estate agent Kryspina Muenchschwander tries to bridge the divide between these two property newbies in Kaiserslautern, Germany.",https://www.hgtv.com/shows/house-hunters-international/episodes/first-time-buyers-have-conflicting-visions-in-kaiserslautern-germany
1,"Season 47, Episode 10","Rome, If You Want To","Cristina Parenti grew up in Rome but moved to the United States to study at Temple University, like her mother before her. Cristina got her degree and met her husband, Shawn Slon, while living in Philadelphia.  After living together for two years, Shawn and Cristina married.  Now, after five years in the United States, Cristina misses her family and wishes to be closer to her hometown. Shawn has agreed to leave his family behind and move back to Rome with his new bride. Shawn is struggling to learn Italian, but he has romantic dreams of his own private balcony where he can drink Italian coffee and watch the scooters go by.  Cristina, however, has different priorities as she is more focused on their budget and the apartment's proximity to her family and friends. These two young lovers need to figure out how both can get what they want.  Find out when House Hunters International visits Rome, Italy!",https://www.hgtv.com/shows/house-hunters-international/episodes/4700/rome-if-you-want-to
2,"Season 47, Episode 11",Seeking Perfection in Playa del Carmen,"Roger and Sue Wright have been visiting their personal paradise of Playa del Carmen for twenty years and in the past three have gotten serious about purchasing a vacation home.  But this couple has never found their perfect property.  Now their real estate agent has some big news and they have one last chance to find a new home.  But can they finally have their ah-ha moment when House Hunters International dips south of the border, to Playa del Carmen, Mexico?",https://www.hgtv.com/shows/house-hunters-international/episodes/finally-picking-in-playa-del-carmen2
3,"Season 47, Episode 12",An Unemployed Couple in the Portuguese Countryside,"Katie and her boyfriend Feargal have grown tired of the expense and hustle and bustle of Dublin. She's a fashion designer, Feargal teaches woodworking, and both are leaving their jobs to move outside Coimbra, a students' and artists' mecca in the center of Portugal. But neither has employment waiting for them, causing Katie to worry about house prices and renovation costs, while Feargal wants to dive into a renovator's house and use his skills straight away. Balancing prices and uncertain incomes, the couple starts a challenging house hunt with little money but a passion to create new lives, and livings, in the Portuguese countryside.",https://www.hgtv.com/shows/house-hunters-international/episodes/an-unemployed-couple-in-the-portuguese-countryside
4,"Season 47, Episode 13","Thai One On in Bangkok, Thailand","Breaking out of her small Texas town to travel the world was Alison's dream.  But after 5 years of discovering the world, she is now heading into a deeper mission, to find herself a new settled life in Bangkok.  In a buoyant rental market, finding an apartment should be easy, but Alison's uncompromising fighting style proves to be the biggest challenge in her homesearch. She's determined to find an apartment that has it all or go down swinging.  House Hunters International rolls with the punches in Bangkok, Thailand.",https://www.hgtv.com/shows/house-hunters-international/episodes/thai-one-on-in-bangkok-thailand
5,"Season 48, Episode 1","Bunking with the Bossman in Mossman, Australia","Cowgirl Julia is saddling up to a new career in Mossman, Australia.  She's looking for a change of pace from her urban life in Hamburg, Germany and quickly realizes to afford a place in this expensive rural hideaway, she must find a roommate and quick. Luckily, her boss Kirsten is looking to move closer to the cattle ranch, but searching a home together could either be a dream come true or a second job for this odd couple. Watch as House Hunters finds a home on the range in Mossman, Australia.",https://www.hgtv.com/shows/house-hunters-international/episodes/bunking-with-the-bossman-in-mossman-australia
6,"Season 48, Episode 2",Finding a Home for Furry Friends in Finland,"Best friends, hockey fanatics, and pet lovers Kae and Sarah want to experience the world while they're still young and single and decide on Finland, a 'hockey nation' similar to Canada. While finding jobs overseas was easy, relocating three cats and a large dog pose quite a challenge as they discover homes are smaller and more expensive than expected. Can Kae and Sarah find a Scandinavian home that will also please their pets? Watch when House Hunters International is unleashed in Helsinki, Finland.",https://www.hgtv.com/shows/house-hunters-international/episodes/finding-a-home-for-furry-friends-in-finland
7,"Season 48, Episode 3","Student Gets Schooled in Glasgow, Scotland","After completing his undergraduate degree in urban planning, Ryan Sandwick is ready for graduate school and has chosen  a program in Scotland. Ryan is used to the San Diego, Canlifornia sunshine and moving to Glasgow will be a big adjustment. Hoping he can find something his style within his budget, Ryan gets help from his friend Gabe Teague and real estate agent Iain Williamson. Watch as Ryan weathers the move as House Hunters International gets schooled in Glasgow, Scotland.",https://www.hgtv.com/shows/house-hunters-international/episodes/student-gets-schooled-in-glasgow-scotland2
8,"Season 48, Episode 4","It's a Dog's Life on St. John, U.S. Virgin Islands","John and Stacey Alvarado live the good life with their young son, Andrew, on the island of St. Thomas. It's all a day at the beach until John gets a job on neighboring St. John, adding an extended commute via ferry across islands. Motivated to regain the lost family time and invest in their future, John and Stacey decide to relocate to St. John, but there's an added perk that comes with the move. They can bring their beloved dogs after deciding to take the plunge and purchase a home, since most St. John rentals don't allow four legged tenants. Investing in their family, both human and furry, fuels the search for John, but Stacey's fear of hurricanes makes buying an island home a stormy experience.",https://www.hgtv.com/shows/house-hunters-international/episodes/its-a-dogs-life-on-st-john-us-virgin-islands
9,"Season 48, Episode 5",Coping with Co-ops in Copenhagen,"Michelle and Soren's world was turned upside down when her record label went under, killing Soren's American record contract.  With his band finding success in Europe, Soren wants to move back to his home country of Denmark but Michelle's struggling to give up her life in New York.  Find out if she can she cope with co-op living and communal bathrooms when House Hunters International makes sweet music in Copenhagen, Denmark.",https://www.hgtv.com/shows/house-hunters-international/episodes/coping-with-co-ops-in-copenhagen
